# H1+ZEUS combined NC ins836107 — Aaron et al., JHEP 01 (2010) 109.
# Fractions are symmetric averages of +/- %% columns on each sigma_r CSV row.
# HEPData ins836107 record text: first sys = uncorrelated experimental; second = correlated experimental;
# sys_3..sys_5 = three correlated combination sources; plus 0.5%% overall normalisation row.
# z_Q2_over_s_x = Q^2/(E_cm^2 * x); equals quoted y for standard DIS kinematics at fixed E_cm.
# sigma_rel_total_quadrature matches sqrt(sum of squared listed components) when none are missing.
Q2_GeV2,x,y_Bjorken,Ecm_GeV,F2,z_Q2_over_s_x,sigma_rel_stat,sigma_rel_sys_uncorrelated_experimental,sigma_rel_sys_correlated_experimental,sigma_rel_sys_combination_1,sigma_rel_sys_combination_2,sigma_rel_sys_combination_3,sigma_rel_sys_overall_normalisation,sigma_rel_total_quadrature_listed_sigma_r,sigma_rel_total_quadrature_rebuilt
2.0,5e-05,0.395,319.0,0.83,0.39307789821247824,0.0152,0.019299999999999998,0.0091,0.0023,0.0029,0.0033,0.005,0.027128029784707918,0.027128029784707918
2.0,8e-05,0.247,319.0,0.765,0.24567368638279888,0.0097,0.0134,0.0089,0.0034000000000000002,0.0021,0.0042,0.005,0.02028472331583549,0.02028472331583549
2.0,0.00013,0.152,319.0,0.727,0.15118380700479936,0.011000000000000001,0.013000000000000001,0.0098,0.0032,0.0017000000000000001,0.0031,0.005,0.020827385817716062,0.020827385817716062
2.0,0.0002,0.099,319.0,0.684,0.09826947455311956,0.011200000000000002,0.0132,0.011200000000000002,0.0042,0.0031,0.0005,0.005,0.021854518983496298,0.021854518983496298
2.0,0.00032,0.062,319.0,0.631,0.06141842159569972,0.0101,0.0165,0.0123,0.0027,0.0013,0.0038,0.005,0.023957671005337727,0.023957671005337727
2.0,0.0005,0.04,319.0,0.578,0.03930778982124783,0.011699999999999999,0.0204,0.013000000000000001,0.0025,0.0013,0.004,0.005,0.027766706682644235,0.027766706682644235
2.0,0.001,0.02,319.0,0.512,0.019653894910623915,0.0098,0.0179,0.01,0.0028000000000000004,0.0008,0.0011,0.005,0.023476371099469352,0.023476371099469352
2.0,0.0032,0.006,319.0,0.428,0.0061418421595699725,0.010700000000000001,0.0189,0.013999999999999999,0.004,0.0017000000000000001,0.0084,0.005,0.027966944774143635,0.027966944774143635
2.0,0.013,0.002,301.0,0.358,0.0016980624258689625,0.0239,0.0213,0.0397,0.0014000000000000002,0.0089,0.0121,0.005,0.05341881690940001,0.05341881690940001
2.7,5e-05,0.599,301.0,0.913,0.5960199114800058,0.0106,0.0127,0.013000000000000001,0.0077,0.024300000000000002,0.0054,0.005,0.03386133488213364,0.03386133488213364
2.7,5e-05,0.534,319.0,0.901,0.5306551625868456,0.0151,0.0165,0.009300000000000001,0.0017000000000000001,0.0040999999999999995,0.001,0.005,0.025148558606806874,0.025148558606806874
2.7,8e-05,0.374,301.0,0.899,0.37251244467500355,0.032799999999999996,0.01,0.0181,0.0039000000000000003,0.006500000000000001,0.0075,0.005,0.04052357338636365,0.04052357338636365
2.7,8e-05,0.333,319.0,0.892,0.3316594766167785,0.0072,0.0103,0.0073,0.0029,0.004,0.003,0.005,0.016420414123888595,0.016420414123888595
2.7,0.00013,0.205,319.0,0.806,0.20409813945647914,0.0062,0.0087,0.0069,0.004,0.0002,0.0024,0.005,0.014440914098491135,0.014440914098491135
2.7,0.0002,0.133,319.0,0.78,0.1326637906467114,0.0076,0.0161,0.0083,0.003,0.0028000000000000004,0.001,0.005,0.02070507184242547,0.02070507184242547
2.7,0.00032,0.083,319.0,0.702,0.08291486915419463,0.0084,0.0127,0.0086,0.0044,0.002,0.0009,0.005,0.018840912929048846,0.018840912929048846
