Q2,beta,x,xF2D3,rel_err,table,model_gcft_template,delta_rel_model_minus_data
9.0,0.1,0.00024,0.0252,3.982461550347976e-05,Table3.csv,0.026141325059114543,0.03735416901248186
9.0,0.1,0.00042,0.0304,5.3413481444294565e-05,Table3.csv,0.02679808687304693,-0.11848398443924577
9.0,0.1,0.00075,0.0261,4.920365840057017e-05,Table3.csv,0.027495968119145234,0.053485368549625774
9.0,0.1,0.00133,0.0248,5.021951811795888e-05,Table3.csv,0.028203321905823548,0.13723072200901407
9.0,0.1,0.00237,0.0317,6.637017402418047e-05,Table3.csv,0.02893509460949072,-0.08722099023688579
9.0,0.2,0.00024,0.026,3.848376280978772e-05,Table3.csv,0.027382712759361817,0.05318125997545453
9.0,0.2,0.00042,0.0354,4.6529560496527366e-05,Table3.csv,0.026781879612487628,-0.24344972846080148
9.0,0.2,0.00075,0.02,3.162277660168379e-05,Table3.csv,0.026173258093950526,0.3086629046975263
9.0,0.2,0.00133,0.0257,3.7161808352124094e-05,Table3.csv,0.025585523966177217,-0.00445432038220948
9.0,0.2,0.00237,0.0235,4.32781700167648e-05,Table3.csv,0.02500617902241247,0.06409272435797748
9.0,0.2,0.00421,0.027,5.491812087098393e-05,Table3.csv,0.02444299348763457,-0.09470394490242327
9.0,0.4,0.00024,0.0456,7.026378868236468e-05,Table3.csv,0.04310827473230102,-0.05464309797585485
9.0,0.4,0.00042,0.0446,6.621178142898739e-05,Table3.csv,0.0390510395248845,-0.12441615415057178
9.0,0.4,0.00075,0.0375,6.041522986797286e-05,Table3.csv,0.03524965003904116,-0.060009332292235706
9.0,0.4,0.00133,0.0226,3.733630940518894e-05,Table3.csv,0.031857429261421204,0.40962076377969936
9.0,0.4,0.00237,0.0222,4.617358552246079e-05,Table3.csv,0.0287670019378971,0.29581089810347294
9.0,0.4,0.00421,0.0351,7.057619995437555e-05,Table3.csv,0.025990774296500315,-0.25952209981480584
9.0,0.4,0.0075,0.0247,6.88839603971781e-05,Table3.csv,0.02347058172113335,-0.049774019387313684
9.0,0.65,0.00024,0.0469,9.308598175880191e-05,Table3.csv,0.05655877314899615,0.20594399038371325
9.0,0.65,0.00042,0.0511,8.645229898620395e-05,Table3.csv,0.04696435183261918,-0.08093244945950717
9.0,0.65,0.00075,0.0378,6.08276253029822e-05,Table3.csv,0.038736661602820466,0.024779407482022897
9.0,0.65,0.00133,0.0445,8.261961026293939e-05,Table3.csv,0.03202430777347645,-0.28035263430389995
9.0,0.65,0.00237,0.0238,5.277309920783505e-05,Table3.csv,0.02643246334966524,0.11060770376744702
9.0,0.65,0.00421,0.0222,5.269724850502159e-05,Table3.csv,0.0218397804806933,-0.016226104473274786
9.0,0.65,0.0075,0.0161,5.3254107822777395e-05,Table3.csv,0.018027902466130622,0.11974549479072188
9.0,0.9,0.00042,0.0346,6.983552104767316e-05,Table3.csv,0.03936114243858679,0.13760527279152568
9.0,0.9,0.00075,0.0332,7.3348483283569e-05,Table3.csv,0.0329083903952583,-0.008783421829569258
9.0,0.9,0.00133,0.0246,6.264982043070833e-05,Table3.csv,0.027572660486848196,0.12083985718895104
9.0,0.9,0.00237,0.031,7.211102550927978e-05,Table3.csv,0.02306748564810332,-0.2558875597386026
9.0,0.9,0.00421,0.0277,8.57962703152066e-05,Table3.csv,0.019317135835553296,-0.3026304752507835
9.0,0.9,0.0075,0.0106,4.2720018726587654e-05,Table3.csv,0.016162205180605148,0.5247363377929385
12.0,0.04,0.00024,0.0281,7.35934779718964e-05,Table4.csv,0.02544916471760424,-0.09433577517422634
12.0,0.04,0.00042,0.0277,4.104875150354758e-05,Table4.csv,0.02934338882722767,0.05932811650641411
12.0,0.04,0.00075,0.0284,5.4708317466359725e-05,Table4.csv,0.03400786549176366,0.19746005252688947
12.0,0.04,0.00133,0.0452,7.919595949289332e-05,Table4.csv,0.03934410663350827,-0.1295551629754807
12.0,0.1,0.00024,0.0308,6.711929677819934e-05,Table4.csv,0.028249461884210604,-0.08280967908407133
12.0,0.1,0.00042,0.0268,4.3908996800200304e-05,Table4.csv,0.028242667520283555,0.053830877622520666
12.0,0.1,0.00075,0.0256,3.712142238654117e-05,Table4.csv,0.02823562959649262,0.10295428111299294
12.0,0.1,0.00133,0.0285,5.408326913195984e-05,Table4.csv,0.028228677846017885,-0.009520075578319865
12.0,0.1,0.00237,0.0298,5.500000000000001e-05,Table4.csv,0.02822166897347083,-0.052964128407019126
12.0,0.2,0.00024,0.023,4.4598206241955516e-05,Table4.csv,0.025119082045220727,0.0921340019661186
12.0,0.2,0.00042,0.0351,5.408326913195984e-05,Table4.csv,0.025972988228877843,-0.26002882538809563
12.0,0.2,0.00075,0.0248,3.584689665786984e-05,Table4.csv,0.026888352518332433,0.08420776283598526
12.0,0.2,0.00133,0.0239,3.443835071544513e-05,Table4.csv,0.027824410339797614,0.16420126944759889
12.0,0.2,0.00237,0.0302,4.6529560496527366e-05,Table4.csv,0.028801398056594138,-0.04631132262933321
12.0,0.2,0.00421,0.0222,3.966106403010388e-05,Table4.csv,0.02980710186866964,0.34266224633647013
12.0,0.2,0.0075,0.0403,9.616652224137046e-05,Table4.csv,0.030853208255687433,-0.23441170581420767
12.0,0.4,0.00024,0.0372,8.377350416450299e-05,Table4.csv,0.043845322400966176,0.17863769895070375
12.0,0.4,0.00042,0.0478,7.156116265125938e-05,Table4.csv,0.039264650335840194,-0.1785638005054353
12.0,0.4,0.00075,0.0351,5.635601121442148e-05,Table4.csv,0.03502274514799694,-0.0022009929345600345
12.0,0.4,0.00133,0.0354,5.5009090157900264e-05,Table4.csv,0.0312819936031051,-0.11632786431906494
12.0,0.4,0.00237,0.0267,5.283937925449163e-05,Table4.csv,0.027914081512853295,0.04547121770986117
12.0,0.4,0.00421,0.0186,3.8470768123342685e-05,Table4.csv,0.02492418725129217,0.34001006727377275
12.0,0.4,0.0075,0.0266,6.646803743153548e-05,Table4.csv,0.022241962313864334,-0.16383600323818287
12.0,0.65,0.00024,0.0585,0.00016640012019226427,Table4.csv,0.059205354051594314,0.012057334215287359
12.0,0.65,0.00042,0.0523,8.438009243891595e-05,Table4.csv,0.05126262508998343,-0.01983508432154053
12.0,0.65,0.00075,0.0442,7.262231062146122e-05,Table4.csv,0.04415523656997418,-0.0010127472856521205
12.0,0.65,0.00133,0.0425,7.463243262818116e-05,Table4.csv,0.03810143872763863,-0.10349555934967933
12.0,0.65,0.00237,0.0284,5.0537115073973104e-05,Table4.csv,0.032836612433445544,0.15621874765653318
12.0,0.65,0.00421,0.0264,5.440588203494178e-05,Table4.csv,0.028322145900242256,0.07280855682735818
12.0,0.65,0.0075,0.0269,6.08276253029822e-05,Table4.csv,0.024410314947166202,-0.09255334768898878
12.0,0.9,0.00042,0.0321,7.655063683601855e-05,Table4.csv,0.0432715872846103,0.348024526000321
12.0,0.9,0.00075,0.0426,8.452810183601664e-05,Table4.csv,0.03531807079969232,-0.1709373051715418
12.0,0.9,0.00133,0.0359,8.154140052758476e-05,Table4.csv,0.028896785733662195,-0.19507560630467427
12.0,0.9,0.00237,0.0322,6.676076692189808e-05,Table4.csv,0.023602841422204576,-0.2669925024160069
12.0,0.9,0.00421,0.0114,3.478505426185217e-05,Table4.csv,0.019299962341181368,0.6929791527352077
12.0,0.9,0.0075,0.0176,5.3141321022345694e-05,Table4.csv,0.015765668262677522,-0.10422339416604993
18.0,0.04,0.00042,0.035,4.981967482832461e-05,Table5.csv,0.0345507616296434,-0.012835382010188688
18.0,0.04,0.00075,0.0408,4.920365840057017e-05,Table5.csv,0.04187445238009976,0.02633461715930769
18.0,0.04,0.00133,0.0513,7.707788269017255e-05,Table5.csv,0.05063360003646301,-0.012990252700526147
18.0,0.1,0.00042,0.0286,4.750789408087881e-05,Table5.csv,0.028109543229409138,-0.01714883813254763
18.0,0.1,0.00075,0.0323,4.6615448083226664e-05,Table5.csv,0.03125000844914209,-0.03250747835473421
18.0,0.1,0.00133,0.0309,5.032891812864648e-05,Table5.csv,0.03469721047472656,0.1228870703795004
18.0,0.1,0.00237,0.0411,6.370243323453196e-05,Table5.csv,0.03855881929164054,-0.061829214315315295
18.0,0.1,0.00421,0.0429,9.620810776644555e-05,Table5.csv,0.042825647092938395,-0.0017331679967740358
18.0,0.2,0.00042,0.0344,4.695742752749558e-05,Table5.csv,0.027106774947527286,-0.21201235617653238
18.0,0.2,0.00075,0.0256,3.3541019662496847e-05,Table5.csv,0.027995703486575423,0.0935821674443524
18.0,0.2,0.00133,0.0261,3.49857113690718e-05,Table5.csv,0.028902590246172324,0.10737893663495489
18.0,0.2,0.00237,0.0251,3.889730067755345e-05,Table5.csv,0.029846909278828875,0.18911989158680773
18.0,0.2,0.00421,0.0257,3.640054944640259e-05,Table5.csv,0.03081669894076119,0.1990933439984899
18.0,0.2,0.0075,0.0433,8.140024569987489e-05,Table5.csv,0.03182307733205686,-0.2650559507608115
18.0,0.4,0.00042,0.0382,5.852349955359812e-05,Table5.csv,0.04037143339670451,0.05684380619645314
18.0,0.4,0.00075,0.0391,5.916924876994807e-05,Table5.csv,0.037787090979778774,-0.033578235811284614
18.0,0.4,0.00133,0.0405,5.682429058070149e-05,Table5.csv,0.035396270123496706,-0.12601802164205667
18.0,0.4,0.00237,0.0275,4.1593268686170846e-05,Table5.csv,0.03313837581596952,0.20503184785343703
18.0,0.4,0.00421,0.0328,5.2999999999999994e-05,Table5.csv,0.031035621350843774,-0.0537920319864704
18.0,0.4,0.0075,0.0312,5.103920062069938e-05,Table5.csv,0.029056785897263248,-0.06869275970310099
18.0,0.4,0.0133,0.0258,7.981227975693966e-05,Table5.csv,0.02721833874670394,0.05497437002728449
18.0,0.65,0.00042,0.0543,8.987213138676529e-05,Table5.csv,0.05697438501078507,0.04925202598130882
18.0,0.65,0.00075,0.0497,7.392563831310488e-05,Table5.csv,0.04811022853743921,-0.0319873533714445
18.0,0.65,0.00133,0.036,5.3851648071345046e-05,Table5.csv,0.0407076898784112,0.13076916328920019
18.0,0.65,0.00237,0.0439,6.767569726275452e-05,Table5.csv,0.03439546409092924,-0.2165042348307691
18.0,0.65,0.00421,0.0272,4.6043457732885354e-05,Table5.csv,0.029088639056395582,0.06943525942630822
18.0,0.65,0.0075,0.0251,4.548626166217664e-05,Table5.csv,0.024580029487923188,-0.020715956656446734
18.0,0.65,0.0133,0.0196,5.440588203494178e-05,Table5.csv,0.020797993441621646,0.06112211436845137
18.0,0.9,0.00075,0.0397,7.769813382572326e-05,Table5.csv,0.04171528869942531,0.05076293953212376
18.0,0.9,0.00133,0.037,7.479304780526062e-05,Table5.csv,0.034879823500100916,-0.057302067564840055
18.0,0.9,0.00237,0.033,6.350590523722971e-05,Table5.csv,0.029120263245712767,-0.11756778043294651
18.0,0.9,0.00421,0.0205,4.617358552246079e-05,Table5.csv,0.024335602090446905,0.18710254099740994
18.0,0.9,0.0075,0.0199,5.9135437767890076e-05,Table5.csv,0.02031888310591636,0.02104940230735464
18.0,0.9,0.0133,0.018,6.403124237432849e-05,Table5.csv,0.01698943189774229,-0.05614267234765051
28.0,0.04,0.00075,0.0476,6.931089380465382e-05,Table6.csv,0.04760000000000002,2.915501640297155e-16
28.0,0.04,0.00133,0.0407,7.57429864739964e-05,Table6.csv,0.04070000000000002,5.11466381123383e-16
28.0,0.1,0.00075,0.0416,7.44043009509531e-05,Table6.csv,0.04192552704295433,0.007825169301786866
28.0,0.1,0.00133,0.0388,6.55133574166368e-05,Table6.csv,0.03997336788615939,0.03024144036493274
28.0,0.1,0.00237,0.0414,6.723094525588644e-05,Table6.csv,0.03809672407371253,-0.07978927358182299
28.0,0.1,0.00421,0.0347,9.633275663033837e-05,Table6.csv,0.036317669187419806,0.04661870857117591
28.0,0.2,0.00075,0.0385,5.6859475903317993e-05,Table6.csv,0.03261852721420975,-0.1527655269036429
28.0,0.2,0.00133,0.0303,4.477722635447622e-05,Table6.csv,0.03392943151939626,0.11978321846192269
28.0,0.2,0.00237,0.0306,4.4294469180700204e-05,Table6.csv,0.035304795098999475,0.1537514738235123
28.0,0.2,0.00421,0.0354,5.408326913195984e-05,Table6.csv,0.03672798149633941,0.03751360159150864
28.0,0.2,0.0075,0.0434,0.00010519030373565806,Table6.csv,0.03821607570715355,-0.11944526020383521
28.0,0.4,0.00075,0.0476,8.273451516749223e-05,Table6.csv,0.04251213309601972,-0.10688796016765299
28.0,0.4,0.00133,0.0435,6.777905281132217e-05,Table6.csv,0.041660895851508534,-0.04227825628716008
